averageRating,numVotes
7.3,22025
6.9,16545
7.2,12100
7.6,25940
8.1,19679
6.7,14614
7.1,45819
7.8,17912
7.4,10211
7.2,83611
8.5,25403
6.5,10805
7.9,16332
7.9,13015
7.5,15344
7.3,11772
7.8,11283
7.7,19349
7.8,20875
7.8,12970
7.6,12567
8.0,18104
7.2,10294
7.7,162818
7.6,37995
7.6,11923
8.0,13638
7.2,41839
7.8,149003
7.0,11384
7.8,82119
7.6,10157
8.0,14346
7.8,21489
8.0,184525
8.1,24464
2.7,10474
7.9,11845
7.5,24208
8.5,15613
6.9,16141
7.7,34111
8.2,10228
7.4,11980
8.4,15038
7.2,21125
8.1,49008
6.8,13890
6.8,12564
8.3,29668
7.3,14357
8.0,66214
6.7,13051
7.5,18017
7.6,10652
7.2,15206
7.2,16371
7.9,11365
7.2,12969
8.6,11014
8.3,216083
7.6,26373
7.7,45498
7.2,13498
8.0,191589
7.6,13565
7.0,98523
7.8,13089
7.1,12041
7.5,17572
8.3,68537
7.1,12793
8.2,41475
7.9,16052
6.5,28359
7.6,52555
8.8,647705
7.1,10840
7.2,23123
8.3,42599
7.2,39287
6.8,16185
7.3,11799
8.0,14744
7.6,22988
8.2,15191
7.7,29106
1.9,33997
7.6,11541
7.7,10497
8.1,91766
7.3,12956
7.6,12572
7.7,14944
6.7,23002
8.0,65889
8.4,11772
7.0,15363
7.7,37187
7.8,97147
5.2,25681
8.1,153324
7.8,63504
7.6,22555
7.2,28031
8.0,243606
7.8,36269
7.0,32895
7.4,10514
7.9,22620
8.0,62706
7.6,156559
7.9,17451
7.4,17246
8.1,41126
7.7,14700
7.5,11309
7.8,26051
7.2,12362
6.9,91168
8.3,564585
7.2,10953
7.7,10975
5.9,30153
8.5,12242
7.4,56969
6.9,38697
6.5,14666
7.4,17472
7.7,12805
5.8,11551
7.9,27655
7.9,109138
7.7,29905
7.4,32563
7.6,35774
8.0,159153
7.6,47512
7.6,28058
8.0,178727
8.1,11039
7.2,10971
7.0,21096
7.7,16806
7.4,23354
7.5,20776
6.6,11591
8.8,62975
7.6,14589
7.8,27819
8.1,11236
8.2,18721
7.0,19674
8.0,193075
8.5,282731
7.3,93609
7.3,14289
7.1,12610
7.3,38719
7.9,17345
6.5,13284
7.8,94449
6.7,74488
6.6,11548
6.9,13950
7.3,26798
7.9,15224
6.3,15635
7.4,40010
7.0,22157
7.2,16414
7.7,48910
7.9,74008
8.3,22112
6.6,16439
7.1,86922
6.1,39938
7.2,20924
8.0,19976
8.0,24458
7.5,31180
7.9,10100
3.3,16346
7.6,42797
7.6,31297
6.9,28106
7.5,64717
7.9,90128
7.7,11262
6.7,45772
7.5,30212
8.2,15239
7.0,13788
8.3,13180
7.1,12667
8.8,24324
7.6,27839
7.2,31373
7.0,32462
7.1,32124
7.2,14678
7.2,10436
7.0,10412
8.3,714753
7.8,12454
6.6,89418
7.7,135508
7.6,58852
6.3,30308
8.0,36558
7.7,102843
7.4,27154
7.7,27680
7.9,67268
7.9,14632
7.1,20291
8.0,39152
7.5,18079
7.4,11885
7.7,20508
7.4,17316
6.5,27380
7.1,14919
7.0,23981
6.6,15517
6.7,25308
7.5,53555
7.1,22817
7.5,23725
7.2,10605
7.2,25424
7.6,21458
7.8,167420
8.4,47996
7.3,13259
8.0,48573
7.8,45379
7.9,34985
6.1,28714
7.4,12408
7.7,93712
6.8,36617
7.4,38437
6.3,10473
7.4,26041
9.2,1503786
7.5,46832
7.6,26835
7.4,24036
6.5,15636
6.0,30710
6.9,11677
7.3,29726
6.1,20738
7.6,23526
7.1,38803
7.4,10779
6.9,11584
8.0,42848
8.1,73513
8.1,27120
7.7,18029
7.5,10014
7.4,77089
7.4,11176
7.8,60763
5.5,27546
7.5,10130
6.1,10267
6.3,20825
7.8,35355
7.3,45328
6.9,15958
7.7,91464
7.9,15560
8.0,344795
7.2,11040
7.5,21793
8.4,13988
7.4,23788
7.5,20732
6.7,11415
6.8,90527
7.6,23536
7.2,52866
7.3,91250
8.0,18546
8.1,39270
8.0,115870
7.3,16980
7.8,21943
7.6,108147
7.3,14428
8.4,14110
7.7,100938
6.9,14021
7.2,38368
7.1,54085
8.3,227964
7.0,46639
7.1,20889
7.0,48407
7.5,62821
5.9,18209
7.4,14873
7.4,15270
9.2,19941
7.3,19902
7.9,36796
8.1,17185
7.2,30224
7.7,119314
7.5,17076
8.2,275421
7.8,90330
7.0,33302
8.3,21866
5.9,12968
7.9,13147
7.3,11491
9.0,1053063
6.4,22546
7.9,33280
7.8,15447
7.6,13562
7.1,16067
6.8,89425
8.2,476400
7.3,51641
6.7,10486
7.1,13795
7.4,15255
7.1,23526
6.8,14372
7.7,24585
7.5,126907
7.2,14699
7.1,20878
6.9,36846
8.2,19095
8.0,136595
8.1,34855
8.7,79510
8.1,40602
8.1,138167
6.5,15722
8.4,10568
6.2,23242
8.0,223897
7.7,14018
6.4,16498
7.8,13716
8.5,12043
6.8,15701
7.6,11189
8.2,10275
8.0,522121
7.7,33848
7.8,41947
7.7,21933
7.1,10832
8.7,861085
7.5,31381
7.6,19383
7.6,29055
7.4,125543
6.6,21074
6.9,10164
5.9,50267
6.5,16360
8.2,48383
6.9,15145
7.4,44423
6.6,18298
8.7,14819
8.3,21554
7.7,21053
6.6,16979
8.0,95904
7.4,40824
7.3,19214
6.9,15089
7.4,158434
6.9,17891
6.8,39114
7.4,94444
6.8,19185
7.5,24035
5.9,28279
7.1,11889
7.7,36052
6.8,49106
6.7,22422
7.5,54554
8.2,41150
6.8,16712
7.4,31368
8.1,136217
7.5,101475
7.9,61943
7.2,26292
6.5,10696
8.1,489394
7.7,20901
6.7,15262
6.9,16835
7.9,12121
8.3,671341
8.5,18413
8.4,15354
7.5,11165
7.8,12687
7.4,12518
8.0,241727
7.4,48804
7.9,18966
7.6,173059
6.2,10428
7.4,18265
3.8,20505
6.3,11004
6.4,19792
8.1,10379
7.4,11743
6.7,18773
7.4,18025
6.2,12353
6.5,16251
8.9,12989
7.6,30542
6.7,17063
6.4,21153
7.4,20467
6.3,14363
6.9,54442
6.8,66494
7.3,32754
7.0,42329
7.7,10499
7.7,15855
7.1,92177
8.6,1168627
7.4,72546
7.1,12909
6.9,10774
7.0,11081
7.6,10759
7.0,24124
6.9,19142
6.9,16287
7.3,11626
6.4,14140
6.3,27640
7.9,106219
7.9,48014
7.3,25826
8.1,293509
7.8,10428
7.2,13034
6.4,21917
6.4,15840
6.8,12781
6.4,12639
6.1,15829
7.2,220617
7.8,215532
6.9,17414
6.3,27857
6.8,11905
8.3,22295
5.7,24645
7.4,17148
7.4,48525
5.8,66816
8.2,15150
6.2,28274
7.6,68318
7.5,107302
5.9,17665
6.7,19008
7.7,13605
7.3,152031
7.0,34317
7.6,31938
6.8,10993
5.4,13064
7.4,28588
6.1,14404
5.8,29951
8.4,741335
7.9,25529
6.2,33406
8.4,569346
8.0,62135
6.0,21876
7.3,11007
7.5,21054
7.7,20587
6.8,23470
5.9,47744
7.4,25252
7.8,11320
7.6,108722
8.6,16306
6.9,14823
7.6,33200
7.2,50482
7.8,123349
8.1,346291
6.9,181754
7.9,124966
6.2,17874
6.3,84783
8.1,10585
7.6,30602
7.5,30052
6.8,29719
7.3,16092
7.3,180425
7.7,23602
6.8,19294
8.2,103861
6.4,77166
7.3,14069
7.1,14465
6.9,24007
7.6,88241
7.5,33740
7.4,20518
8.1,10897
8.6,11413
7.8,11540
6.8,25633
7.7,197323
6.9,30294
6.2,20124
6.2,16470
7.3,13797
4.6,11847
7.2,17806
5.8,59621
7.9,172575
6.1,10223
7.2,14930
7.3,99927
5.4,32097
7.2,27765
6.1,11252
7.5,15724
6.4,17387
7.4,11485
7.1,32148
8.1,206483
8.7,1096406
6.6,19078
6.7,19869
6.5,47449
6.8,59582
6.5,110984
7.3,50192
6.8,12769
6.6,17099
8.0,29699
8.4,12985
7.6,17749
6.5,13045
7.7,43744
6.3,14553
5.3,27909
6.2,22275
5.4,14115
8.2,300995
6.8,44664
8.4,829129
5.3,14018
7.2,25350
7.3,20028
6.8,23603
6.8,93608
7.0,55204
6.3,12359
6.7,12749
6.7,10780
5.2,11296
8.8,24103
9.3,33459
8.9,43027
7.2,14478
6.9,11260
7.5,85871
6.9,24516
7.4,39836
7.4,28959
8.3,218178
6.4,14318
6.3,31397
7.2,50991
7.6,20262
6.9,38656
6.9,131573
6.1,13530
7.2,11202
6.7,13987
6.8,18739
6.6,13781
7.2,116459
7.4,54871
5.6,17447
6.8,86306
7.3,79883
7.0,11291
6.1,54470
5.9,11394
7.4,34917
7.2,12701
7.3,19631
6.5,70012
6.7,29446
6.9,43819
6.6,29093
7.6,158749
6.7,13471
6.3,16245
7.8,16226
6.4,15960
7.6,26085
6.6,25701
7.4,21964
6.6,20420
7.6,12082
6.2,11568
8.4,838453
7.3,19579
7.2,15115
6.9,61300
6.8,15826
7.4,22783
6.7,25882
7.8,44753
7.2,14854
6.9,27923
8.4,14622
8.1,12641
6.9,65105
6.2,46379
6.6,37769
6.2,15048
6.2,19030
8.1,652265
6.1,18149
6.9,39601
7.2,58720
6.9,19337
7.0,11146
7.1,17753
7.8,349888
7.5,176194
7.1,12719
8.1,53670
7.2,87830
5.9,23930
7.7,213565
8.1,28772
5.7,43851
8.0,211003
4.4,31164
7.5,23149
9.0,13482
6.6,17624
7.7,17152
7.9,12855
6.6,13185
7.0,45850
8.1,72485
7.3,134001
6.2,36180
6.8,163645
7.6,34348
8.2,11835
7.6,38661
7.7,107711
5.4,12299
7.1,18890
8.1,345844
7.4,91891
5.9,10697
6.8,108625
7.7,33441
7.6,18401
8.3,20916
7.2,23950
8.2,11408
7.5,32123
8.1,33627
6.8,17405
7.9,12578
7.4,13892
5.9,14862
7.2,13108
7.2,30958
6.4,15878
6.5,10377
6.7,66537
8.0,126444
6.1,36495
7.0,13486
7.2,56790
8.2,15420
7.2,11563
6.2,44363
6.8,11669
4.9,40473
6.7,21611
8.4,12068
3.7,37131
5.8,10212
7.8,77458
8.3,33039
6.1,28657
7.3,19630
6.4,10122
6.4,23014
7.3,13980
7.6,108288
6.5,19938
7.4,90348
6.2,57722
8.1,20065
6.6,89386
7.1,70592
5.1,10332
6.5,22161
8.3,899019
7.8,53619
6.8,75993
7.2,29979
8.3,691137
7.2,17242
6.3,23830
4.7,13718
6.7,15000
6.6,38331
5.0,61458
7.4,51302
7.5,127774
6.5,31285
6.4,12165
7.3,77786
7.1,85810
7.1,18385
6.5,11816
7.7,38030
8.3,22536
8.7,18561
7.3,29803
7.4,21611
6.9,16734
8.0,19348
6.5,10176
6.8,47748
6.3,22737
6.6,15618
8.3,348813
6.3,33844
7.3,153566
7.3,20288
7.6,82021
6.8,26486
7.0,22776
7.4,22576
5.1,14213
5.7,44654
7.8,11594
6.7,14103
5.9,73290
6.5,15455
6.3,12988
6.5,114915
6.8,10001
6.5,11804
6.1,27862
6.6,65606
7.3,10712
6.0,41240
7.8,336509
7.3,185980
6.4,16942
7.6,421223
6.5,12709
7.2,163387
8.1,133485
7.8,48815
7.2,10894
6.8,36278
5.4,13045
6.5,10375
6.9,18467
7.5,41107
6.4,17220
7.5,193367
7.1,62051
8.4,289682
8.1,79459
7.3,16050
6.8,21538
