Company1,Company2,Value
1,1,1.0
1,2,-0.4733738034638937
1,3,0.14846914202140793
1,4,0.2585000842611704
1,5,0.5427408783116868
1,6,0.4262523450117998
1,7,0
1,8,0.09378836783975775
1,9,0.01030277796720337
1,10,-0.07035817338606118
1,11,0.36891943382157755
1,12,0.6942671511037963
1,13,0.12425542118600641
1,14,0.4842033463465601
1,15,0.20325334528177302
1,16,0.0981938211781508
1,17,0.0659147452591958
1,18,-0.3153447280075085
1,19,-0.024249316814020094
1,20,0.059248029797005
1,21,0.5345510672134893
1,22,0.20135948721093558
1,23,0.4997529764673151
1,24,0.3659044311470326
1,25,0.332186472789079
1,26,-0.11092514147665758
1,27,-0.057878575104299855
1,28,-0.13603808886566862
1,29,0.1771302639965272
1,30,0.24889196778366712
1,31,-0.0006203019767492007
1,32,0.315003915721544
1,33,0.39269679119352335
1,34,-0.516511870479394
1,35,0.1114228336099361
1,36,0.41410415725142835
1,37,0.06510844312984547
1,38,0.15068680599187828
2,1,-0.4733738034638937
2,2,0.9999999999999999
2,3,-0.6224339942171884
2,4,0.6008492859090714
2,5,0.10500402659711079
2,6,-0.5548182673853553
2,7,0
2,8,-0.5969166411239258
2,9,-0.19226931125235833
2,10,-0.14627875159705994
2,11,-0.5636326825817586
2,12,-0.487743352015773
2,13,-0.21827666454579978
2,14,-0.6712678525089043
2,15,-0.4502359757861062
2,16,-0.5971837328955616
2,17,-0.2585429899556155
2,18,0.7988758761334581
2,19,-0.17468506433994144
2,20,-0.2390941785909202
2,21,0.13551680479235506
2,22,-0.36865729606527153
2,23,-0.6831040385564268
2,24,-0.8321709276892323
2,25,-0.38364669750294944
2,26,-0.18126576422407484
2,27,-0.12476957161506395
2,28,-0.19394026476444423
2,29,0.3208775766099089
2,30,0.5663827044166252
2,31,-0.18160912676762134
2,32,0.46126718360438945
2,33,-0.3201645476011605
2,34,0.9148004226850657
2,35,0.5174978026939829
2,36,-0.6151595057422949
2,37,-0.4436525529612153
2,38,-0.3563029382923303
3,1,0.14846914202140793
3,2,-0.6224339942171884
3,3,1.0
3,4,-0.6822558035180172
3,5,-0.05799740767440313
3,6,0.2012123200917868
3,7,0
3,8,0.8714171043543745
3,9,0.2244783496870142
3,10,0.04746168225284864
3,11,0.3818845523514175
3,12,0.22308949826592567
3,13,0.2831970031871252
3,14,0.3861650750422135
3,15,0.47479947171501313
3,16,0.8117989574170058
3,17,0.27785685203378296
3,18,-0.5486186239831049
3,19,0.14037008621427838
3,20,0.27733289238862713
3,21,-0.36398551433174586
3,22,0.3013598335426543
3,23,0.3132227714426107
3,24,0.7122035283941422
3,25,-0.056205111550911326
3,26,0.08795722666491074
3,27,0.04345002361022867
3,28,0.11354956470252019
3,29,-0.2629759397361958
3,30,-0.657551296784099
3,31,0.19159754998807538
3,32,-0.6519328742200055
3,33,0.018018630600909108
3,34,-0.6960369384895356
3,35,-0.5283526870664412
3,36,0.5670673763795864
3,37,0.7058379927157836
3,38,0.30213267921635695
4,1,0.2585000842611703
4,2,0.6008492859090714
4,3,-0.6822558035180172
4,4,0.9999999999999999
4,5,0.6064291168179379
4,6,-0.23032112574407812
4,7,0
4,8,-0.6791697815564067
4,9,-0.311894264108484
4,10,-0.12181985989571399
4,11,-0.24277073179154396
4,12,0.12395529907376551
4,13,-0.3584985060784703
4,14,-0.32964079600232743
4,15,-0.38845397350141236
4,16,-0.6853425227498691
4,17,-0.3840802409211581
4,18,0.5483176614441574
4,19,-0.2415649526026908
4,20,-0.37805121283516224
4,21,0.6613357389397199
4,22,-0.35304274961979254
4,23,-0.3547432051354283
4,24,-0.6747460168095526
4,25,0.0117818021709263
4,26,-0.17945533272556988
4,27,-0.10935293413965905
4,28,-0.20757356748771394
4,29,0.41899935976588715
4,30,0.9438350844163182
4,31,-0.28122510565126896
4,32,0.9020669391575434
4,33,0.0460263675125852
4,34,0.6021414624225672
4,35,0.7116218305847626
4,36,-0.4652067465669629
4,37,-0.4398107000474136
4,38,-0.42015555683998834
5,1,0.5427408783116867
5,2,0.10500402659711078
5,3,-0.05799740767440313
5,4,0.606429116817938
5,5,0.9999999999999998
5,6,-0.017783706405054528
5,7,0
5,8,-0.06592429370960597
5,9,-0.1273142981713347
5,10,-0.037710773717729795
5,11,-0.13941270681046047
5,12,0.28906699530868135
5,13,0.013654922560966128
5,14,-0.15731988390964433
5,15,0.28770474446620675
5,16,-0.03750717893589667
5,17,-0.03281246594618305
5,18,-0.018421323096678394
5,19,-0.12365774799859623
5,20,-0.02951983715244749
5,21,0.3784377876270497
5,22,0.10857335225219923
5,23,-0.13397106087911576
5,24,-0.07054957714343131
5,25,-0.11252455768048404
5,26,-0.05846796374694922
5,27,-0.03573833194584897
5,28,-0.08260029056492854
5,29,0.5383571399516563
5,30,0.6355931942159966
5,31,-0.13012087212246226
5,32,0.534695183372688
5,33,-0.08265290367801618
5,34,0.059316043669034445
5,35,0.3465644671708899
5,36,0.18897632658681698
5,37,0.11837766720917434
5,38,0.04346028032031963
6,1,0.4262523450117998
6,2,-0.5548182673853553
6,3,0.20121232009178683
6,4,-0.23032112574407812
6,5,-0.017783706405054524
6,6,1.0
6,7,0
6,8,0.3440355794647529
6,9,0.3188683338640931
6,10,0.026003151344698862
6,11,0.4608058611985535
6,12,0.29153788082995363
6,13,0.35286720618024153
6,14,0.21705733354551596
6,15,0.44968844126039254
6,16,0.430004707103054
6,17,0.3638658249530814
6,18,-0.464072988322236
6,19,0.2381517298688016
6,20,0.3531657413678937
6,21,-0.11423350128595054
6,22,0.3763575720786117
6,23,0.2964071264031297
6,24,0.4318767611853544
6,25,0.5177516924013538
6,26,0.04979299505076591
6,27,0.017588102347661897
6,28,0.10908771128740302
6,29,-0.019966676854763186
6,30,-0.23502679888347963
6,31,0.30306339952144074
6,32,-0.03831127901146003
6,33,0.4296343972897983
6,34,-0.6653173255501856
6,35,-0.3450100504495001
6,36,0.5724624859779077
6,37,0.1936747989512721
6,38,0.39628251319661034
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,0
8,1,0.09378836783975776
8,2,-0.5969166411239258
8,3,0.8714171043543746
8,4,-0.6791697815564067
8,5,-0.06592429370960597
8,6,0.3440355794647529
8,7,0
8,8,0.9999999999999998
8,9,0.2695312546944613
8,10,0.06550851999507132
8,11,0.3713060051638743
8,12,0.09090573951605319
8,13,0.37320740567871025
8,14,0.23234517055612883
8,15,0.5259829518884304
8,16,0.9221426129482193
8,17,0.3630570078715995
8,18,-0.6034430188242325
8,19,0.17406932462768793
8,20,0.3588144760633966
8,21,-0.4836697012007525
8,22,0.3722722897878939
8,23,0.17948806098219036
8,24,0.7096684119885106
8,25,0.05455672959336789
8,26,0.09880329999855814
8,27,0.057452986728673903
8,28,0.11699776150651485
8,29,-0.20226975979514678
8,30,-0.6327470540132581
8,31,0.23599722794161052
8,32,-0.6002701335106962
8,33,-0.0606209078730255
8,34,-0.6631114866669446
8,35,-0.4706764159165094
8,36,0.6390987812713252
8,37,0.6770116443542024
8,38,0.4020101031415866
9,1,0.01030277796720337
9,2,-0.1922693112523583
9,3,0.2244783496870142
9,4,-0.311894264108484
9,5,-0.1273142981713347
9,6,0.3188683338640931
9,7,0
9,8,0.2695312546944613
9,9,1.0
9,10,0.3036604418312376
9,11,-0.23356988808731993
9,12,-0.27013530250493495
9,13,0.6710823821746529
9,14,-0.09562851472231572
9,15,0.271048660499101
9,16,0.5498168520726366
9,17,0.8440169213643185
9,18,-0.37785621804803043
9,19,0.7643689384549792
9,20,0.8407878924944077
9,21,-0.2078182787998057
9,22,0.34727739425232956
9,23,0.160125056695815
9,24,0.313235530136674
9,25,-0.20633726384303513
9,26,0.4359247950310803
9,27,0.26125012881255477
9,28,0.5630033670965625
9,29,0.4695896987643386
9,30,-0.3391532079344508
9,31,0.9396751757215714
9,32,-0.19038206346406586
9,33,-0.22622179189006367
9,34,-0.3486682790373792
9,35,-0.5811111835147974
9,36,0.6138213631695921
9,37,0.009706184846715156
9,38,0.6577166267473471
10,1,-0.07035817338606118
10,2,-0.14627875159705994
10,3,0.04746168225284864
10,4,-0.12181985989571398
10,5,-0.037710773717729795
